
r,gr
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0
0.15,0
0.1625,0
0.175,0
0.1875,0
0.2,0
0.2125,0
0.225,0
0.2375,0
0.25,0
0.2625,0
0.275,0
0.2875,0
0.3,0
0.3125,0
0.325,0
0.3375,0
0.35,0
0.3625,0
0.375,0
0.3875,0
0.4,0
0.4125,0
0.425,0
0.4375,0
0.45,0
0.4625,0
0.475,0
0.4875,0
0.5,0
0.5125,0
0.525,0
0.5375,0
0.55,0
0.5625,0
0.575,0
0.5875,0
0.6,0
0.6125,0
0.625,0
0.6375,0
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
1.0125,0
1.025,0
1.0375,0
1.05,0
1.0625,0
1.075,0
1.0875,0
1.1,0
1.1125,0
1.125,0
1.1375,0
1.15,0
1.1625,0
1.175,0
1.1875,0
1.2,0
1.2125,0
1.225,0
1.2375,0
1.25,0
1.2625,0
1.275,0
1.2875,0
1.3,0
1.3125,0
1.325,0
1.3375,0
1.35,0
1.3625,0
1.375,0
1.3875,0
1.4,0
1.4125,0
1.425,0
1.4375,0
1.45,0
1.4625,0
1.475,0
1.4875,0
1.5,0
1.5125,0
1.525,0
1.5375,0
1.55,0
1.5625,0
1.575,0
1.5875,0
1.6,0
1.6125,-0.461601412
1.625,-0.394768282
1.6375,-0.313339655
1.65,-0.217112271
1.6625,-0.105940558
1.675,0.018864436
1.6875,0.15427791
1.7,0.297171555
1.7125,0.443617067
1.725,0.588039412
1.7375,0.724660692
1.75,0.847883283
1.7625,0.952788505
1.775,1.034617491
1.7875,1.089009173
1.8,1.114438596
1.8125,1.11061242
1.825,1.077395966
1.8375,1.01693181
1.85,0.933104484
1.8625,0.829852428
1.875,0.711507258
1.8875,0.582920053
1.9,0.44897558
1.9125,0.314059193
1.925,0.181393128
1.9375,0.054034383
1.95,-0.065319871
1.9625,-0.175519697
1.975,-0.275830941
1.9875,-0.365621485
2,-0.445098388
2.0125,-0.514880952
2.025,-0.575600762
2.0375,-0.628056785
2.05,-0.67319176
2.0625,-0.71195167
2.075,-0.745206037
2.0875,-0.773710833
2.1,-0.798212677
2.1125,-0.819381498
2.125,-0.837684668
2.1375,-0.8535565
2.15,-0.867397015
2.1625,-0.879437795
2.175,-0.88985879
2.1875,-0.898828864
2.2,-0.90641127
2.2125,-0.9126107
2.225,-0.917429298
2.2375,-0.920827696
2.25,-0.922726507
2.2625,-0.923044885
2.275,-0.921714416
2.2875,-0.918687454
2.3,-0.913918352
2.3125,-0.907390702
2.325,-0.899175903
2.3375,-0.889361765
2.35,-0.878046058
2.3625,-0.865382484
2.375,-0.85154427
2.3875,-0.836697606
2.4,-0.820930161
2.4125,-0.804280549
2.425,-0.786781034
2.4375,-0.768314787
2.45,-0.748603699
2.4625,-0.727360977
2.475,-0.704230445
2.4875,-0.678725194
2.5,-0.650343848
2.5125,-0.618619936
2.525,-0.58320644
2.5375,-0.543781868
2.55,-0.500076949
2.5625,-0.452158834
2.575,-0.400228044
2.5875,-0.344506909
2.6,-0.285498963
2.6125,-0.223905346
2.625,-0.160433338
2.6375,-0.095858576
2.65,-0.0310397
2.6625,0.033160035
2.675,0.095943456
2.6875,0.156654047
2.7,0.214653314
2.7125,0.269381285
2.725,0.320584589
2.7375,0.368084682
2.75,0.411747165
2.7625,0.451764757
2.775,0.48847712
2.7875,0.522236676
2.8,0.553583307
2.8125,0.583204914
2.825,0.611792524
2.8375,0.639998034
2.85,0.668419971
2.8625,0.697652531
2.875,0.728135018
2.8875,0.759933497
2.9,0.793058945
2.9125,0.827427043
2.925,0.862528605
2.9375,0.897736081
2.95,0.932410048
2.9625,0.965809506
2.975,0.99714187
2.9875,1.025625277
3,1.05068581
3.0125,1.071933875
3.025,1.088990169
3.0375,1.101702984
3.05,1.110269622
3.0625,1.11491711
3.075,1.115963599
3.0875,1.113976452
3.1,1.109565246
3.1125,1.103334274
3.125,1.095860896
3.1375,1.087713915
3.15,1.079437604
3.1625,1.071332387
3.175,1.063558983
3.1875,1.056265
3.2,1.0493369
3.2125,1.042401366
3.225,1.035072195
3.2375,1.026824498
3.25,1.016893922
3.2625,1.004492358
3.275,0.988827504
3.2875,0.969094015
3.3,0.944484018
3.3125,0.914246069
3.325,0.877957747
3.3375,0.835315546
3.35,0.786059024
3.3625,0.730426431
3.375,0.668977755
3.3875,0.60228931
3.4,0.531247489
3.4125,0.457084837
3.425,0.381052091
3.4375,0.304397819
3.45,0.228366367
3.4625,0.15420159
3.475,0.083028005
3.4875,0.015546878
3.5,-0.047634317
3.5125,-0.105971902
3.525,-0.159349013
3.5375,-0.207823892
3.55,-0.251464962
3.5625,-0.290472834
3.575,-0.32514402
3.5875,-0.355776306
3.6,-0.382635976
3.6125,-0.405949838
3.625,-0.425942091
3.6375,-0.442815624
3.65,-0.456726412
3.6625,-0.467824179
3.675,-0.476261304
3.6875,-0.482200907
3.7,-0.485808823
3.7125,-0.487252655
3.725,-0.486713591
3.7375,-0.484379134
3.75,-0.480437838
3.7625,-0.475094876
3.775,-0.468568961
3.7875,-0.461079291
3.8,-0.452849376
3.8125,-0.444108792
3.825,-0.435087477
3.8375,-0.425980794
3.85,-0.41689788
3.8625,-0.407934655
3.875,-0.39915063
3.8875,-0.390437012
3.9,-0.381636399
3.9125,-0.372583407
3.925,-0.363041563
3.9375,-0.352737074
3.95,-0.341399841
3.9625,-0.328839035
3.975,-0.314936331
3.9875,-0.299577504
4,-0.282738889
4.0125,-0.264540244
4.025,-0.245114062
4.0375,-0.224620492
4.05,-0.203298019
4.0625,-0.1813989
4.075,-0.159176801
4.0875,-0.136892853
4.1,-0.114810643
4.1125,-0.093192449
4.125,-0.072286974
4.1375,-0.052334881
4.15,-0.033574699
4.1625,-0.016195899
4.175,-0.000337595
4.1875,0.013864054
4.2,0.02633278
4.2125,0.037099153
4.225,0.046204801
4.2375,0.053713344
4.25,0.059759303
4.2625,0.064491461
4.275,0.068059931
4.2875,0.07062288
4.3,0.072341489
4.3125,0.07337827
4.325,0.073911839
4.3375,0.07413154
4.35,0.074226637
4.3625,0.074378068
4.375,0.07475718
4.3875,0.075534322
4.4,0.076815052
4.4125,0.078574496
4.425,0.080772127
4.4375,0.083317909
4.45,0.085939756
4.4625,0.088323755
4.475,0.090153258
4.4875,0.091092624
4.5,0.090798143
4.5125,0.088937856
4.525,0.085348945
4.5375,0.079995264
4.55,0.072848138
4.5625,0.064048574
4.575,0.05395708
4.5875,0.04294892
4.6,0.031440921
4.6125,0.019944549
4.625,0.008984376
4.6375,-0.00095305
4.65,-0.009540786
4.6625,-0.016493761
4.675,-0.02155574
4.6875,-0.024701509
4.7,-0.026016845
4.7125,-0.025592598
4.725,-0.023594631
4.7375,-0.020251894
4.75,-0.015794212
4.7625,-0.010395968
4.775,-0.004150955
4.7875,0.002853443
4.8,0.01055973
4.8125,0.018987553
4.825,0.028168839
4.8375,0.038116115
4.85,0.048748914
4.8625,0.059958929
4.875,0.071623193
4.8875,0.083482675
4.9,0.095204538
4.9125,0.106455949
4.925,0.116919412
4.9375,0.126291908
4.95,0.134272692
4.9625,0.140679996
4.975,0.145526664
4.9875,0.148843592
5,0.150735567
5.0125,0.151524105
5.025,0.15157026
5.0375,0.151237839
5.05,0.150905767
5.0625,0.15095812
5.075,0.151764681
5.0875,0.153540582
5.1,0.1564064
5.1125,0.160476438
5.125,0.165739223
5.1375,0.17205004
5.15,0.179257611
5.1625,0.187195347
5.175,0.195668435
5.1875,0.204479023
5.2,0.213452799
5.2125,0.222494082
5.225,0.231523596
5.2375,0.240465812
5.25,0.249268761
5.2625,0.257889603
5.275,0.266281564
5.2875,0.274347665
5.3,0.281956392
5.3125,0.288975886
5.325,0.295285075
5.3375,0.300775711
5.35,0.305340648
5.3625,0.308928518
5.375,0.311604055
5.3875,0.313446484
5.4,0.314549617
5.4125,0.315062883
5.425,0.315148958
5.4375,0.314957762
5.45,0.314547099
5.4625,0.313934318
5.475,0.313132477
5.4875,0.312092689
5.5,0.310718179
5.5125,0.30891186
5.525,0.306615375
5.5375,0.303822073
5.55,0.300529053
5.5625,0.296773854
5.575,0.29268928
5.5875,0.288421843
5.6,0.284119523
5.6125,0.279936696
5.625,0.276029476
5.6375,0.272543216
5.65,0.269533569
5.6625,0.267011632
5.675,0.264983323
5.6875,0.26336684
5.7,0.262004244
5.7125,0.260734919
5.725,0.259390233
5.7375,0.257789519
5.75,0.255751178
5.7625,0.253128409
5.775,0.249867394
5.7875,0.245929678
5.8,0.241292312
5.8125,0.23600945
5.825,0.230159163
5.8375,0.223816473
5.85,0.217026879
5.8625,0.209819331
5.875,0.20222071
5.8875,0.194216547
5.9,0.18575209
5.9125,0.176771108
5.925,0.167232185
5.9375,0.157118929
5.95,0.146417382
5.9625,0.13514193
5.975,0.123393101
5.9875,0.11128772
6,0.098952991
6.0125,0.086575154
6.025,0.074361295
6.0375,0.062517258
6.05,0.051234643
6.0625,0.04069605
6.075,0.03108103
6.0875,0.02249019
6.1,0.014937835
6.1125,0.008433239
6.125,0.002912136
6.1375,-0.001829835
6.15,-0.006012759
6.1625,-0.009874479
6.175,-0.01371433
6.1875,-0.017844947
6.2,-0.022565103
6.2125,-0.028083128
6.225,-0.034571083
6.2375,-0.042190526
6.25,-0.050964661
6.2625,-0.060818426
6.275,-0.07167254
6.2875,-0.083374698
6.3,-0.09568299
6.3125,-0.108349997
6.325,-0.121124633
6.3375,-0.133747914
6.35,-0.145959835
6.3625,-0.157515678
6.375,-0.168231158
6.3875,-0.177936914
6.4,-0.186472059
6.4125,-0.1937393
6.425,-0.199670237
6.4375,-0.204199402
6.45,-0.207305359
6.4625,-0.209001813
6.475,-0.209304322
6.4875,-0.20826746
6.5,-0.205999585
6.5125,-0.202613036
6.525,-0.198239365
6.5375,-0.193056951
6.55,-0.187251171
6.5625,-0.181003711
6.575,-0.174479602
6.5875,-0.167839173
6.6,-0.161235777
6.6125,-0.154762214
6.625,-0.148480195
6.6375,-0.142449297
6.65,-0.1366934
6.6625,-0.131204406
6.675,-0.125972928
6.6875,-0.120980074
6.7,-0.116192224
6.7125,-0.111574476
6.725,-0.107082096
6.7375,-0.102643144
6.75,-0.098181016
6.7625,-0.093612883
6.775,-0.088823834
6.7875,-0.083688639
6.8,-0.078082347
6.8125,-0.071882834
6.825,-0.064969612
6.8375,-0.057224043
6.85,-0.048569934
6.8625,-0.038973762
6.875,-0.028404466
6.8875,-0.016880776
6.9,-0.004508336
6.9125,0.008598461
6.925,0.022304044
6.9375,0.036406179
6.95,0.050689547
6.9625,0.06494353
6.975,0.078985266
6.9875,0.092642045
7,0.10574745
7.0125,0.118209138
7.025,0.129983068
7.0375,0.14102704
7.05,0.151328053
7.0625,0.160906049
7.075,0.16978268
7.0875,0.177972678
7.1,0.185477156
7.1125,0.192295636
7.125,0.198427461
7.1375,0.203871338
7.15,0.208625833
7.1625,0.212696969
7.175,0.216141303
7.1875,0.219036361
7.2,0.221461326
7.2125,0.223517448
7.225,0.22532216
7.2375,0.226992016
7.25,0.228597624
7.2625,0.230151394
7.275,0.231661827
7.2875,0.233101933
7.3,0.234365722
7.3125,0.235336542
7.325,0.235912435
7.3375,0.236051651
7.35,0.235727859
7.3625,0.234933983
7.375,0.233813223
7.3875,0.232579382
7.4,0.231447977
7.4125,0.230656209
7.425,0.230459139
7.4375,0.231110144
7.45,0.232755973
7.4625,0.235391647
7.475,0.239000421
7.4875,0.243496825
7.5,0.248622031
7.5125,0.254090297
7.525,0.259626219
7.5375,0.265002758
7.55,0.270007009
7.5625,0.274447631
7.575,0.278328019
7.5875,0.281754915
7.6,0.284839856
7.6125,0.287771417
7.625,0.290809382
7.6375,0.294215052
7.65,0.29817354
7.6625,0.302747995
7.675,0.307990543
7.6875,0.313886639
7.7,0.320230711
7.7125,0.326783188
7.725,0.333301256
7.7375,0.339524737
7.75,0.345187674
7.7625,0.350033474
7.775,0.353904039
7.7875,0.3567002
7.8,0.358325478
7.8125,0.358729931
7.825,0.357911896
7.8375,0.355872101
7.85,0.352625647
7.8625,0.34821355
7.875,0.342679548
7.8875,0.336096207
7.9,0.328630128
7.9125,0.320467055
7.925,0.311807528
7.9375,0.302942732
7.95,0.294198173
7.9625,0.285894898
7.975,0.278298206
7.9875,0.271635855
8,0.266130525
8.0125,0.261870184
8.025,0.258785966
8.0375,0.256799689
8.05,0.255764163
8.0625,0.255391711
8.075,0.25537758
8.0875,0.255419569
8.1,0.255224985
8.1125,0.254503346
8.125,0.252979855
8.1375,0.250490122
8.15,0.246917165
8.1625,0.2421509
8.175,0.236179236
8.1875,0.229064252
8.2,0.22087107
8.2125,0.211712391
8.225,0.201763114
8.2375,0.191202405
8.25,0.180226539
8.2625,0.169071196
8.275,0.15797758
8.2875,0.14718531
8.3,0.136927265
8.3125,0.127434535
8.325,0.118925802
8.3375,0.11151904
8.35,0.105283298
8.3625,0.100279792
8.375,0.096438694
8.3875,0.0935788
8.4,0.091514509
8.4125,0.090015863
8.425,0.088787734
8.4375,0.087529842
8.45,0.085970131
8.4625,0.083910249
8.475,0.081163717
8.4875,0.07756929
8.5,0.073088159
8.5125,0.067718603
8.525,0.061467437
8.5375,0.054421738
8.55,0.046712598
8.5625,0.038473265
8.575,0.029872981
8.5875,0.021115326
8.6,0.01240504
8.6125,0.003931642
8.625,-0.004140509
8.6375,-0.011649444
8.65,-0.018470071
8.6625,-0.024586756
8.675,-0.030004075
8.6875,-0.034744441
8.7,-0.038929263
8.7125,-0.042714095
8.725,-0.046254584
8.7375,-0.049707022
8.75,-0.053228103
8.7625,-0.056971614
8.775,-0.061015337
